Statement_ID,Old_Observation_ID,Source_ID,Statement,Column1
ST-257,O-330,SR-008,"Fully modular search  strategies, (those in which each component is optimized independently of the others) are not optimal as they can locate the globally optimal configuration only if there are no interdependencies among components.",
ST-258,O-332,SR-008,"An over-modular approach focussed on the exploration of each component independently from the others, may be doomed to be limited in the maximum performance that can be finally obtained",
ST-260,O-334,SR-008,"Aiming at the optimal solution of a problem(integral search strategy) entails the necessity to take into account all the interdependencies among components. However, this enlarges enormously the space to be searched and therefore the time required to explore it",
ST-261,O-335,SR-008,"In highly volatile environments, it can happen that an agent finds itself in a location with very low fitness ...in this case local short steps(modular search strategies) will be too slow a strategy... while long jumps(integral search strategies) have a high probability of quickly finding a higher fitness level",
ST-262,O-336,SR-008,"The integrated strategy is likely to provide large improvements when starting from low-fitness locations, while it will provide low improvements when the starting location has high fitness",
ST-263,O-337,SR-008,"In highly volatile, fast-changing  environments  in fact, modular search strategies are shown to have a high probability of being trapped  into low-fitness  zones ",
ST-264,O-338,SR-008,Integral search strategies on the contrary perform search on a broader spectrum and can therefore jump out of low-fitness zones of the landscapes in which sooner or later everybody will fall in a highly volatile environment.,
ST-265,O-339,SR-009,Designing product specific components allows firms to maximize product performance with respect to holistic customer requirements--those requirements that arise in a complex way from  most of the components of a product,
ST-266,O-340,SR-009,"There are many benefits to selecting an existing component, including minimizing investment, exploiting economies of scale, and preserving organizational focus",
ST-267,O-341,SR-009,"Several other motives for selecting existing components may also be present in particular situations, including: a desire for component compatibility because of network externalities",
ST-268,O-343,SR-009,"... [when a] function is quite complex and can only be partially be made explicit ... only by using coupled parameters and highly nonlinear mathematical relationships. As a result it is not possible to decompose [the function] into independant performance requirements for each of the components. ... as a result, most of the components ... must be product specific",
ST-269,O-344,SR-009,if weight were the only important requirement for ... high performance components could be selected [rather than custom built],
ST-270,O-345,SR-009,"To minimize size, mass, and variable cost, designers seek to minimize excess component capability, and therefore design product-specific components",
ST-271,O-346,SR-009," to minimize size, mass, and variable cost, designers adopt integral product architectures, and therefore design product-specific components",
ST-272,O-347,SR-009,Modular architecture prevents function sharing,
ST-273,O-348,SR-009,"As function sharing increases, component requirements become more idiosyncratic and less likely to be fulfilled by existing components",
ST-274,O-349,SR-009,"Part integration, or the combination of multiple parts into one contiguous part, minimizes the use of material and space associated with component interfaces, and may improve geometric precision",
ST-275,O-350,SR-009,"As a result, a strong component supply  base may not develop, requiring product firms to design their own components. While a firm may still standardize components internally, components are likely to be less standardized than if there were a strong external supply of components.",
ST-276,O-352,SR-009,These components [with function sharing] are likely require significant tuning to achieve the appropriate trade-offs for the customer,
ST-277,O-353,SR-010,The modules identify opportunities for function sharing by components and lead to alternative layouts where concept generation techniques may be used to embody the layouts,
ST-278,O-354,SR-011,Product modularity is a strategic approach to product development that can be used by complanies to increase the variety of products and to speed up the NPD process,
ST-279,O-355,SR-011,"product components can be standardized, shared and reused in a range of products so that new products could frequently and easily be launched by modifying and combining different modules from existing designs",
ST-280,O-356,SR-011,"since product modularity allows a product to be decomposed into a set of smaller de-coupled sub-systems or chunks, different teams of designers can autonomously and concurrently design and test modules, thus reducing the time dedicated to the detailed design of new products",
ST-281,O-358,SR-011,"Product modularity is positively related to strategic flexability, measured in terms of model variety and product introduction rate, which in turn influence firm financial performance",
ST-282,O-359,SR-011,"When interations among product chunks are well-developed and an agreement over the desing of common product interfaces has been reached, teams of designers from the manufacturer and suppliers can autonomously and concurrently design product modules",
ST-283,O-361,SR-011,"[Modularity] allows the firm to design, develop and produce parts which can be combined in the maximum number of ways to create a large variety of end products from a smaller set of the independent module alternatives. For this reason, modularity is often considered a useful approach to reduce costs by increasing component standardization, i.e. commonality across different product variants",
ST-284,O-362,SR-011,"Since product modularity allows product variety to be managed without the explosion of costs for inventory and production, literature often associates product modularity with imporvements in different competitive performances of a firm, such as product costs, quality, flexibility, manufacturing cycle time and customer service",
ST-286,O-364,SR-011,Modular product architecture facilitates and speeds up product changes and updating over the life of a product,
ST-287,O-365,SR-011,Modularity allows easy and rapid identification of the modules that should be changed for improving product performance or adding an additional product feature,
ST-288,O-366,SR-011,"Product modularity can change the way detailed designing and testing phases in NPD are managed and organized. In these phases, the overall design task can be divided into smaller tasks for parallel development ...different teams of designers ... can design modules autonomously and concurrently thus reducing the overall time dedicated to product designing and testing",
ST-289,O-367,SR-011,Product modularization with close supplier collaboration reduces development lead time,
ST-290,O-368,SR-011,The design of a modular product can be easily be divided between suppliers and the producer to facilitate the concurrent engineering of a new/modified product,
ST-291,O-371,SR-011,The positive effect of modularity on time performance in NPD increases with rising levels of integration between functions in the NPD process,
ST-292,O-372,SR-011,"Cross functional Teams (II) working on modular architecutures will spend more time defining the architecture, but this time recuperated by reducing inefficiencies and product modifications",
ST-293,O-373,SR-011,"We found that in particular circumstances, Modularity has no impact on Time Performance. In particular, it emerges when Interfunctional Integration is low, Modularity seems to have no influence on Time Performance.",
ST-294,O-375,SR-011,Companies characterized by low degrees of modularity perform better when interfuncitonal integration is low,
ST-295,N/A,SR-012,"Modularity/Modularization... may, for example, ease engineering change management, allow product flexibility in use or even help designing product families.",
ST-296,N/A,SR-012,Under Modularisation - These drivers are all connected to a root node representing the benefit ‘reduction of internal variety and increase in commonality’.,
ST-297,N/A,SR-012,benefits of product modularity are the ability to reach high product variety for mass customisation while keeping a relatively low and manageable internal product variety for the product development process,
ST-298,N/A,SR-012,"Under Modularisation - Breaking down the product complexity is cited as a means to reduce the development time by allowing parallel development and, thus, to lead to a shorter time-to-market and reduced development costs.",
ST-299,N/A,SR-012,"Modularity is identified as an important aspect for product maintenance – notably because it allows separated diagnoses of product components and isolation of wear parts – which is, in turn, identified as an aspect of environment-friendly product design.",
ST-300,N/A,SR-012,"The possibility to upgrade, adapt or modify the product for extending the service life of a product or parts and, therefore, reduce the environmental load of products is another cited potential benefit of modularity.",
ST-301,N/A,SR-012,Modularity is expected to lead to a reduction in production costs due to postponement and delayed differentiation.,
ST-302,N/A,SR-012,"Decreasing the interface complexity between product parts allows the distribution of design tasks, reduces the required intensity of communication between teams and,therefore, allows faster design changes.",
ST-303,N/A,SR-012,"Product modularity affects the ability to disassemble the product at its end-of-life; hence,the ability to sort parts according to their most appropriate post-life treatment (repair,reuse, remanufacturing, recycle and disposal) and the environmental load of products.",
ST-304,N/A,SR-012,"Modularity may limit the possibility of optimising the product through integration of parts (Gershenson, Prasad, and Zhang 2003; Lau 2011).",
ST-305,N/A,SR-012,"Although it supports product variety, it can also lead to a structural similarity in product families (Gershenson, Prasad, and Zhang 2003; Kong et al. 2009; Lau 2011).",
ST-306,N/A,SR-012,"In the same way, it may reduce the flexibility of the product family (Gershenson, Prasad,and Allamneni 1999).",
ST-307,N/A,SR-012,"It may ease competition per imitation (Gershenson, Prasad, and Zhang 2003; Seliger andZettl 2008; Lau 2011).",
ST-308,N/A,SR-012,"The lack of optimisation of modular architectures may hinder aesthetics (Pandremenos,Vasiliadis, and Chryssolouris 2012).",
ST-309,N/A,SR-012,"Modularisation may contradict the design for manufacturing and assembly because it may lead to an increased number of parts and, therefore, increase the number of assembly errors (AlGeddawy and ElMaraghy 2013).",
ST-311,N/A,SR-013,"Designing and developing product families has been well recognized as an effective means to achieve the economy of scale in order to accommodate an increasing product variety across diverse market niches (Meyer & Utterback, 1993; Sundgren, 1999).",
ST-312,N/A,SR-013,"product family design can offer a multitude of benefits including reduction in development risks and system complexity, improved ability to upgrade products, and enhanced flexibility and responsiveness of manufacturing processes (Sawhney, 1998).",
ST-313,N/A,SR-013,"Corresponding to a product platform, production processes can be organized as a process platform in the form of standard routings, thus facilitating production configuration for diverse product family design solutions (Jiao, Tseng, Ma, & Zou, 2000).",
ST-314,N/A,SR-013,"integral architectures are often driven by product performance or cost, while modular architectures are driven by variety, product change, engineering standards, and service requirements.",
ST-315,N/A,SR-013,"product family architecture involves systematic planning of modularity and commonality in terms of building blocks and their configuration structures across the functional, technical and structural views. Zamirowski and Otto (1999) point out the necessity to develop the product architecture and platform by synchronizing multiple views such as those from customer needs, functional structures and physical architectures.",
ST-316,N/A,SR-013,"Most approaches consider only a single product platform, where each platform variable is shared across the entire product family. This strategy ... may lead to a situation that some low-end products may be over-designed and certain high-end products may be under-designed (Dai & Scott, 2004).",
ST-317,N/A,SR-013,"Ulrich (1995) points out that the modular product architecture allows each functional element of the product to be changed independently by changing only the corresponding component. This is advantageous to produce custom-built products from standard models. It also makes standardization possible, which is essential to achieve the economy of scale; therefore, using modular product architectures, variety can be created by configuring existing building blocks.",
ST-318,N/A,SR-013,The importance of standardized interfaces in product architectures is recognized by Meyer and Lehnerd (1997). Sanderson and Uzumeri (1995) suggest that the product family evolution may have been restricted if clear and robust physical interfaces are not developed and defined carefully.,
ST-319,N/A,SR-013,Allahverdi et al.(2002) optimize modular products as a generalized subset selection problem subject to a balance of the quality loss due to modularization and the cost of reconfiguration.,
ST-320,N/A,SR-013,"Kim and Chhajed (2001) develop an economic model that considers a market consisting of a high segment and a low segment. They determine that large commonality decreases production costs but makes the products more indistinguishable from one another, which makes the product more desirable for the low segment but less desirable for the high segment.",
ST-321,N/A,SR-013,"The direct consequence of product customization on production is observed as an exponentially increased number of process variations (referred to as process variety), such as diverse machines, tools, fixtures, setups, cycle times, and labor (Wortmann et al., 1997).",
ST-322,N/A,SR-013,"The benefit of designing product families comes from a reduction of components in inventory and component handling, reduction of component types and manufacturing processes, and increased production volumes (Fisher et al., 1999).",
ST-323,N/A,SR-013,"sharing components in a product family may lead to a lack of distinctiveness, and shared components in one product often exceed the requirements of other products, which causes additional production costs (Krishnan & Gupta, 2001).",
ST-324,N/A,SR-013,"This also suggests that the use of common components allows inventory levels to be lowered through risk pooling (Gerchak, Magazine, and Gamble, 1988).",
ST-325,N/A,SR-013,"From a supply chain perspective, risk pooling is one of the most noticeable effects of product platforms and component commonality across product families.",
ST-326,N/A,SR-013,reducing complexity of a product family through product design by leveraging common characteristics among the products within the family.,
ST-327,N/A,SR-013,"Fine et al.(2005) conjecture that integral products would ideally be built by integral supply chains, whilst modular products tend to be produced by modular supply chains. Based on examination of the automotive industry",
ST-328,N/A,SR-013,"Developing product platforms in most cases requires more investments and development time than developing a single product, which may delay the time to market and affect the return on investment time.",
ST-329,N/A,SR-013,"Product family design and development enhances profitability through a synergy of increased customer-perceived value and cost reduction in design, manufacturing and the supply chain.",
ST-330,N/A,SR-014,"It is diffcult to maintain commonality and economies of scale in products with strict customer design requirements that may vary greatly from contract-to-contract or piece-to-piece. Often, these products are highly customized or possibly unique, which leads to high development and production costs and long and uncertain production times. ",
ST-331,N/A,SR-014,Product families have been successfully employed... to address the challenge of providing customization and variety for the marketplace while maintaining commonality between products,
ST-332,N/A,SR-014,Bottom up approach wherein a company redesigns or consolidates a group of distinct products to standardize components to improve economies of scale.,
ST-333,N/A,SR-014,"When designing a valve to meet custom requirements, it is typical for a company to simply modify a previously built design. This process can be time consuming and expensive because the capability of the previous design to handle the new requirements is not precisely known, and a complete review is necessary to determine required modifications and cost. Moreover, product line consistency and control can be lost in the process.",
ST-334,N/A,SR-014,Carefully designed product platform can help reduce the design and review effort and shorten product lead-time.,
ST-335,N/A,SR-014,"When applying a bottom up approach to product family design, a market segmentation grid is established from the existing product line, and the grid should reflect the company's overall target market. The market is typically well known, and the market segmentation grid should contain the product types, grades, sizes, or other designations that are typically already established. If the target market or product is not yet established, a top-down design approach to platform design, rather than redesign, should be considered.",
ST-336,N/A,SR-014,"For highly customized products, it can be difficult to establish the market niches and the design requirements with certainty, as future demand and requirements can be markedly different from the past.",
ST-337,N/A,SR-014,"We identify subsets of the company's product line where *platform* leveraging can potentially provide the largest cost savings. We begin with the premise that platform leveraging can have the greatest impact where past customer demand was highest, and proceed by defining a subset of the complete market segmentation grid where leveraging has the greatest cost savings potential.",
ST-338,N/A,SR-014,"*Platform* leveraging strategy is a good compromise between cost savings and performance based on past engineering experience. If the leveraging is too aggressive, performance inefficiencies could dominate, resulting in decreased customer satisfaction.",
ST-339,N/A,SR-014,"Modular *Widget* designs, based on these *Product* platforms, could more effectively reduce *Widget* construction and minimize the number of existing *Widgets* that must be stored.",
ST-340,N/A,SR-015,"a ""hypothetically perfect'' integrative system would be one whose components are completely physically distributed throughout the product resulting in components that share interfaces with all the systems that comprise the product",
ST-341,N/A,SR-015,"a ""hypothetically perfect'' modular system would be one whose components do not share design interfaces with components that belong to other systems.",
ST-343,N/A,SR-015,The distributed nature of the integrative systems forces these design teams to overcome organizational barriers in order to handle design interfaces with all the systems.,
ST-344,N/A,SR-015,design interfaces across modular systems are more difficult for design experts to recognize than interfaces with integrative systems.,
ST-345,N/A,SR-015,spatial-type design interfaces are largely addressed in the design of modular systems while transfer-type design interfaces are more likely to be handled in the design of integrative systems.,
ST-346,N/A,SR-016,"Given a family of modular products, designing low cost assembly systems is an important problem. The ability to produce a variety of products through the combination of modular components is a meaningful benefit during product design stage. Therefore, modularity design is to produce different products by combining standard components and sharing the same assembly operations for a part of their structure.",
ST-347,N/A,SR-016,Suh (1990) promotes the decoupling of functional requirements in design. The independence of functional requirements allows design parameters to have a controllable effect on a specific functional requirement and minimal negative impact on other functional requirements. ,
ST-348,N/A,SR-016,Tsai and Wang (1999) presented a methodology of modular-based design in the conceptual stage of systems to support concur-rent engineering.,
ST-349,N/A,SR-016," All parts should be assembled from one direction whenever possible. Extra directions mean wasted time and motion as well as more transfer stations, inspection station and fixture nests. The best possible assembly is when all parts are added in a top-down fashion to create a Z-axis stack.",
ST-350,N/A,SR-016,"The following is a list of DFA criteria (Corbett, 1987): 1. Minimize the number of (1) parts and fixings, (2) design variants, (3) assembly movements, and (4) assembly directions. 2. Provide (1) suitable lead-in chamfers, (2) automatic alignment, (3) easy access for locating surfaces, (4) symmetrical parts, or exaggerate asymmetry, and (5) simple handling and transportation. 3. Avoid (1) visual obstructions, (2) simultaneous fitting operations, (3) parts which will tangle or `nest', (4) adjustments which affect prior adjustments, and (5) the possibility of assembly errors.",
ST-351,N/A,SR-016,"Ishii, Lee and Eubanks (1995) proposed the concept of clumping for disassembly and recycle. A clump is a collection of components and/or subassemblies that share a common characteristic based on user intent. Material compatibility is a major issue in clumping for product retirement. The designer may need to clump components that are not compatible due to certain constraints. If the post-life intent of the product is to be recycled and if materials in the clump are not compatible, then the mechanical connections among the components should be easily broken, i.e. using snap fits, press-fits, screws, and screw insert. If the intent of the designer is to clump for disposal, neither the material nor the fastening method is important.",
ST-352,N/A,SR-016,Design for maintainability: Mount units to chassis or structure rather than on otherunits.,
ST-353,N/A,SR-016,"Design for maintainability: All adjustments shall be designed to be common in their replacement response (i.e., clockwise,right, or up to increase).",
ST-354,N/A,SR-016,"Design for maintainability: Route cables to facilitate tracing, removal, and replacement.",
ST-159,O-206,,,
ST-001,O-004,,,
ST-006,O-010,,,
ST-013,O-021,,,
ST-014,O-022,,,
ST-027,O-036,,,
ST-038,O-051,,,
ST-041,O-057,,,
ST-042,O-058,,,
ST-056,O-077,,,
ST-059,O-080,,,
ST-065,O-087,,,
ST-068,O-091,,,
ST-069,O-092,,,
ST-118,O-150,,,
ST-129,O-161,,,
ST-135,O-167,,,
ST-137,O-169,,,
ST-141,O-173,,,
ST-144,O-176,,,
ST-164,O-214,,,
ST-186,O-239,,,
ST-189,O-242,,,
ST-192,O-246,,,
ST-194,O-250,,,
ST-195,O-251,,,
ST-201,O-258,,,
ST-202,O-259,,,
ST-204,O-261,,,
ST-218,O-280,,,
ST-228,O-294,,,
ST-234,O-301,,,
ST-235,O-302,,,
ST-237,O-304,,,
ST-250,O-321,,,
ST-259,O-333,,,
ST-285,O-363,,,
ST-310,N/A,,,
ST-342,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
,N/A,,,
